status;duration;credit.hist;purpose;credit.amo;savings;employed.time;installment;status.sex;debtors;residence.time;property;age;installment2;housing;num.credits;job;num.people;telephone;foreign;y
< 0 DM;24;delay in paying off in the past;car (new);4870;< 100 DM;1 <=  and < 4 years;3;male:single;none;4;unknown/no property;53;none;for free;2;skilled employee/official;2;none;yes;no
no checking account;36;existing credits paid back duly till now;education;9055;unknown/no savings account;1 <=  and < 4 years;2;male:single;none;4;unknown/no property;35;none;for free;1;unskilled - resident;2;yes;yes;yes
no checking account;24;existing credits paid back duly till now;furniture/equipment;2835;500 <=  and < 1000 DM;>= 7 years;3;male:single;none;4;building society savings agreement/life insurance;53;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;car (used);6948;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;35;none;rent;1;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (new);1295;< 100 DM;< 1 year;3;female:divorced/separated/married;none;1;car or other;25;none;rent;1;skilled employee/official;1;none;yes;no
< 0 DM;48;existing credits paid back duly till now;business;4308;< 100 DM;< 1 year;3;female:divorced/separated/married;none;4;building society savings agreement/life insurance;24;none;rent;1;skilled employee/official;1;none;yes;no
< 0 DM;24;critical account;car (new);1199;< 100 DM;>= 7 years;4;male:single;none;4;car or other;60;none;own;2;unskilled - resident;1;none;yes;no
< 0 DM;15;existing credits paid back duly till now;car (new);1403;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;car or other;28;none;rent;1;skilled employee/official;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;radio/television;1282;100 <=  and < 500 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;car or other;32;none;own;1;unskilled - resident;1;none;yes;no
no checking account;24;critical account;radio/television;2424;unknown/no savings account;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;53;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;30;no credits taken/all credits paid back duly;business;8072;unknown/no savings account;< 1 year;2;male:single;none;3;car or other;25;bank;own;3;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;car (used);12579;< 100 DM;>= 7 years;4;female:divorced/separated/married;none;2;unknown/no property;44;none;for free;1;management/self-employed/;1;yes;yes;no
no checking account;9;critical account;car (new);2134;< 100 DM;1 <=  and < 4 years;4;male:single;none;4;car or other;48;none;own;3;skilled employee/official;1;yes;yes;yes
< 0 DM;6;existing credits paid back duly till now;radio/television;2647;500 <=  and < 1000 DM;1 <=  and < 4 years;2;male:single;none;3;real estate;44;none;rent;1;skilled employee/official;2;none;yes;yes
no checking account;10;critical account;furniture/equipment;2069;unknown/no savings account;1 <=  and < 4 years;2;male:married/widowed;none;1;car or other;26;none;own;2;skilled employee/official;1;none;no;yes
< 0 DM;6;existing credits paid back duly till now;furniture/equipment;1374;< 100 DM;1 <=  and < 4 years;1;male:single;none;2;real estate;36;bank;own;1;unskilled - resident;1;yes;yes;yes
no checking account;6;no credits taken/all credits paid back duly;radio/television;426;< 100 DM;>= 7 years;4;male:married/widowed;none;4;car or other;39;none;own;1;unskilled - resident;1;none;yes;yes
>= 200 DM;12;all credits at this bank paid back duly;radio/television;409;>= 1000 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;3;real estate;42;none;rent;2;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;7;existing credits paid back duly till now;radio/television;2415;< 100 DM;1 <=  and < 4 years;3;male:single;guarantor;2;real estate;34;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;60;delay in paying off in the past;business;6836;< 100 DM;>= 7 years;3;male:single;none;4;unknown/no property;63;none;own;2;skilled employee/official;1;yes;yes;no
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;4020;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;27;stores;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;18;existing credits paid back duly till now;car (new);5866;100 <=  and < 500 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;30;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;12;critical account;business;1264;unknown/no savings account;>= 7 years;4;male:single;none;4;unknown/no property;57;none;rent;1;unskilled - resident;1;none;yes;yes
