id;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
1;52;technician;married;high.school;no;yes;no;cellular;nov;tue;1;999;0;nonexistent;-0.1;93.2;-42;4.153;5195.8;no
2;33;admin.;single;university.degree;no;yes;no;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;no
5;54;admin.;single;university.degree;no;yes;no;cellular;may;mon;1;999;0;nonexistent;-1.8;92.893;-46.2;1.264;5099.1;no
6;53;housemaid;married;high.school;no;no;yes;cellular;jun;thu;1;999;2;failure;-2.9;92.963;-40.8;1.26;5076.2;yes
8;42;self-employed;married;university.degree;unknown;yes;no;cellular;aug;tue;2;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
10;36;management;married;university.degree;no;no;yes;cellular;jul;wed;4;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
11;40;technician;divorced;university.degree;no;yes;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
12;44;blue-collar;single;basic.4y;no;yes;no;cellular;mar;tue;2;999;0;nonexistent;-1.8;92.843;-50;1.51;5099.1;yes
14;36;technician;divorced;professional.course;no;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
15;48;management;married;university.degree;no;no;no;cellular;jul;thu;4;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1;no
16;48;admin.;single;university.degree;no;yes;no;cellular;apr;fri;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
18;27;admin.;married;high.school;no;yes;no;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no
19;29;admin.;single;high.school;no;no;no;cellular;jul;fri;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
23;31;technician;single;high.school;no;no;no;cellular;aug;wed;2;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;no
24;60;admin.;divorced;high.school;no;yes;no;cellular;jul;fri;1;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1;no
27;34;technician;married;professional.course;no;no;no;cellular;may;fri;2;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1;no
28;28;admin.;married;high.school;no;no;no;cellular;may;wed;1;999;0;nonexistent;-1.8;92.893;-46.2;1.334;5099.1;no
29;29;management;married;university.degree;no;no;no;cellular;nov;fri;4;999;0;nonexistent;-0.1;93.2;-42;4.021;5195.8;no
30;46;services;married;basic.6y;no;yes;no;cellular;aug;fri;5;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
31;31;services;single;high.school;no;no;no;cellular;may;wed;2;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1;yes
32;25;blue-collar;single;high.school;no;yes;no;cellular;jul;tue;1;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1;no
33;42;admin.;married;high.school;no;no;no;cellular;apr;fri;2;999;0;nonexistent;-1.8;93.075;-47.1;1.479;5099.1;no
34;32;blue-collar;married;professional.course;no;yes;no;cellular;may;thu;1;999;0;nonexistent;-1.8;92.893;-46.2;1.266;5099.1;no
35;39;blue-collar;divorced;basic.6y;unknown;yes;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;35;admin.;divorced;university.degree;no;yes;no;cellular;nov;fri;3;999;1;failure;-0.1;93.2;-42;4.021;5195.8;no
37;56;management;married;unknown;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
38;39;services;married;university.degree;no;no;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes
