S1M1	S2M1	S3M1	S4M1	S5M1	S6M1	S7M1	S8M1	S1M2	S2M2	S3M2	S4M2	S5M2	S6M2	S7M2	S8M2	S1M3	S2M3	S3M3	S4M3	S5M3	S6M3	S7M3	S8M3	S1M4	S2M4	S3M4	S4M4	S5M4	S6M4	S7M4	S8M4	S1M5	S2M5	S3M5	S4M5	S5M5	S6M5	S7M5	S8M5	S1M6	S2M6	S3M6	S4M6	S5M6	S6M6	S7M6	S8M6	S1M7	S2M7	S3M7	S4M7	S5M7	S6M7	S7M7	S8M7	S1M8	S2M8	S3M8	S4M8	S5M8	S6M8	S7M8	S8M8	y
-7	-4	-3	-3	22	17	-1	2	-6	-2	0	0	-16	12	-4	-3	-19	-6	-5	-3	21	15	-3	-7	1	2	0	0	-10	-6	-1	-3	-3	-1	-2	-1	12	23	3	-3	-10	-4	1	5	-29	-40	0	10	-8	3	2	1	-4	-17	-1	4	34	2	-2	-2	7	22	-1	-1	tijeras
1	2	0	0	12	4	1	4	10	-5	-8	-7	39	39	-3	1	4	1	4	8	0	-7	-1	0	3	-2	-7	-5	-1	17	-3	1	-18	-6	0	-3	4	7	-3	-13	-33	-6	-4	-2	12	11	4	-7	75	12	9	9	0	-13	4	11	-20	-7	-4	-6	-13	3	-2	-12	tijeras
-5	-3	-3	-1	-5	-17	-9	-9	2	1	1	0	-12	1	4	13	-5	-2	-2	-3	1	-26	-9	-8	6	-1	-1	-4	3	19	0	-6	-8	-1	2	0	6	-31	1	7	-8	1	1	1	-4	4	-7	-16	-1	-3	-3	-4	-17	-22	-7	-15	8	1	2	7	24	26	12	22	ok
-3	-11	3	1	-20	8	1	-28	-2	8	-5	1	4	-1	7	18	-1	-11	-2	0	19	-2	0	-9	5	3	-6	-2	4	35	3	2	-7	-5	-2	-1	-21	-60	-23	-15	-7	0	3	-1	5	58	2	26	8	-4	0	-2	-24	-52	-4	-9	8	-3	-1	2	24	14	0	3	papel
-18	-16	-15	-23	-27	12	117	13	26	-10	5	5	16	8	2	22	-6	15	1	-1	-3	-26	-66	-19	-18	-5	-1	0	1	16	55	-6	-10	1	5	14	3	41	-40	-4	0	-16	6	19	2	-31	-40	7	3	-1	-23	-38	20	15	22	28	-26	-8	1	-5	-14	3	-109	-51	piedra
-17	4	-1	-2	3	8	-34	-2	-2	0	1	-3	-5	1	38	0	-39	-3	-2	-1	4	0	12	-16	51	5	1	-6	-9	-12	18	-4	-27	0	-1	1	2	-1	-23	9	-7	-2	-2	-3	-4	-23	-57	-22	-3	1	-2	-7	2	20	73	33	13	-10	-2	4	8	-2	45	13	piedra
-4	11	9	0	5	33	1	15	-33	-43	-20	-9	-16	-10	-10	-27	9	34	2	-1	5	19	2	33	-20	-115	-8	-3	9	-13	-4	-18	-1	-82	4	-6	6	51	2	-22	-21	-104	-10	7	34	2	-1	14	25	-49	5	3	-28	-12	7	23	15	0	-4	-5	-7	-20	-2	-14	papel
-36	-3	0	4	10	-5	-7	-20	16	-6	-10	-20	-6	-16	-63	-30	-57	1	4	13	-4	18	10	14	43	-1	-3	-2	6	5	6	-27	-7	-2	-1	-2	-12	-28	-61	23	-12	-1	1	0	11	21	-58	-25	24	7	8	9	19	5	95	13	-6	-2	-2	-2	-15	7	-47	-17	piedra
11	27	9	6	-22	-1	1	1	0	-8	-1	-6	14	-6	-2	-4	1	0	1	6	10	6	3	5	8	7	4	0	-8	-34	-10	3	2	-1	-4	-3	-5	27	6	-3	0	-5	-7	-3	-3	-15	-4	0	0	8	2	7	14	40	10	8	-13	4	0	-2	22	11	1	-13	papel
24	-3	-1	3	-12	3	39	-31	4	0	-2	-5	16	5	-44	12	-1	-2	-1	-3	-3	-24	13	-21	14	6	2	-1	16	69	83	40	-14	-6	0	0	-19	-4	-94	-39	-13	5	6	11	-14	-3	44	-5	11	-1	1	2	36	8	28	8	-4	-8	-9	-12	0	-19	-68	-9	piedra
